example_id                                                   | status  | run_time        |
./spec/controllers/sectors_controller_spec.rb[1:5:1:2]       | passed  | 0.00516 seconds |
./spec/controllers/sectors_controller_spec.rb[1:5:1:3]       | passed  | 0.00625 seconds |
./spec/controllers/sectors_controller_spec.rb[1:5:2:1]       | passed  | 0.00406 seconds |
./spec/controllers/sectors_controller_spec.rb[1:5:2:2]       | passed  | 0.01071 seconds |
./spec/controllers/sectors_controller_spec.rb[1:6:1:1]       | passed  | 0.00856 seconds |
./spec/controllers/sectors_controller_spec.rb[1:6:1:2]       | passed  | 0.00663 seconds |
./spec/controllers/sectors_controller_spec.rb[1:6:1:3]       | passed  | 0.00698 seconds |
./spec/controllers/sectors_controller_spec.rb[1:6:2:1]       | passed  | 0.00691 seconds |
./spec/controllers/sectors_controller_spec.rb[1:6:2:2]       | passed  | 0.00875 seconds |
./spec/controllers/sectors_controller_spec.rb[1:7:1]         | passed  | 0.00677 seconds |
./spec/controllers/sectors_controller_spec.rb[1:7:2]         | passed  | 0.0145 seconds  |
./spec/lib/financials/calculator_spec.rb[1:1:1]              | passed  | 0.00008 seconds |
./spec/lib/financials/calculator_spec.rb[1:1:2]              | passed  | 0.00011 seconds |
./spec/lib/financials/calculator_spec.rb[1:1:3]              | passed  | 0.00009 seconds |
./spec/lib/financials/calculator_spec.rb[1:1:4]              | passed  | 0.0007 seconds  |
./spec/lib/financials/calculator_spec.rb[1:1:5]              | passed  | 0.0001 seconds  |
./spec/lib/financials/calculator_spec.rb[1:1:6]              | passed  | 0.00009 seconds |
./spec/lib/financials/calculator_spec.rb[1:1:7]              | passed  | 0.00012 seconds |
./spec/lib/financials/calculator_spec.rb[1:1:8]              | passed  | 0.00009 seconds |
./spec/lib/financials/calculator_spec.rb[1:1:9]              | passed  | 0.00011 seconds |
./spec/lib/financials/key_indicators_builder_spec.rb[1:1]    | failed  | 0.00011 seconds |
./spec/models/historical_datum_spec.rb[1:1]                  | pending | 0.00001 seconds |
./spec/requests/companies_spec.rb[1:1:1]                     | passed  | 0.01256 seconds |
./spec/requests/countries_spec.rb[1:1:1]                     | passed  | 0.01257 seconds |
./spec/requests/historical_data_spec.rb[1:1:1]               | passed  | 0.00055 seconds |
./spec/requests/industries_spec.rb[1:1:1]                    | passed  | 0.0135 seconds  |
./spec/requests/markets_spec.rb[1:1:1]                       | passed  | 0.01252 seconds |
./spec/requests/sectors_spec.rb[1:1:1]                       | passed  | 1.56 seconds    |
./spec/routing/companies_routing_spec.rb[1:1:1]              | passed  | 0.00085 seconds |
./spec/routing/companies_routing_spec.rb[1:1:2]              | passed  | 0.00086 seconds |
./spec/routing/companies_routing_spec.rb[1:1:3]              | passed  | 0.00087 seconds |
./spec/routing/companies_routing_spec.rb[1:1:4]              | passed  | 0.00082 seconds |
./spec/routing/companies_routing_spec.rb[1:1:5]              | passed  | 0.00088 seconds |
./spec/routing/companies_routing_spec.rb[1:1:6]              | passed  | 0.00085 seconds |
./spec/routing/companies_routing_spec.rb[1:1:7]              | passed  | 0.00091 seconds |
./spec/routing/companies_routing_spec.rb[1:1:8]              | passed  | 0.00084 seconds |
